Date,Ticker,Open,High,Low,Close,Volume
1 01 2020,BATBC,326.6666667,328.3333333,323.6666667,327.9666667,19025
2 01 2020,BATBC,328.3333333,332.3333333,327.4,328,31495
5 01 2020,BATBC,330,332.3333333,324.5,330.7666667,18629
6 01 2020,BATBC,332.3333333,333.3333333,328.0333333,328.2333333,28359
7 01 2020,BATBC,328.3333333,330,324.7333333,325.2,18429
8 01 2020,BATBC,327.6666667,327.6666667,317.1666667,318.6666667,25513
9 01 2020,BATBC,320.0333333,320.3666667,303.4666667,309.5,32911
12 01 2020,BATBC,311.6666667,315.0333333,310,312.7333333,10774
13 01 2020,BATBC,313.3333333,313.3333333,302.0333333,302.9333333,26025
14 01 2020,BATBC,302.7,302.7,289.4333333,293.1333333,43423
15 01 2020,BATBC,296.6333333,303.9333333,295.2666667,296.3666667,34791
16 01 2020,BATBC,296.4,303.3,296.0666667,300.9666667,43301
19 01 2020,BATBC,306,323.5333333,306,323.5333333,47884
20 01 2020,BATBC,333,333.3333333,322.3666667,323.7,84673
21 01 2020,BATBC,320.0333333,327.9333333,317.0666667,326.6666667,35583
22 01 2020,BATBC,327.0333333,333.3,324.7666667,331.7,28345
23 01 2020,BATBC,333.3333333,345.3333333,332.4333333,343.9,49942
26 01 2020,BATBC,346.3333333,359,344.0666667,357.1333333,68556
27 01 2020,BATBC,360,369.7666667,357.6333333,368.5666667,91626
28 01 2020,BATBC,370,377,369,375.1333333,85123
29 01 2020,BATBC,376.6666667,378.3333333,358.6666667,361.7,87759
30 01 2020,BATBC,361.7,361.7,350.3333333,357.8,42620
2 02 2020,BATBC,358.3333333,366.3666667,358.3333333,361.8,26337
3 02 2020,BATBC,366,366,360,360.5,24953
4 02 2020,BATBC,362,362,354.9666667,355.5666667,41749
5 02 2020,BATBC,358.3,358.3,350,353,21501
6 02 2020,BATBC,350.3333333,356.3333333,350.0333333,354.3666667,17504
9 02 2020,BATBC,355.2,356.3333333,349.5,350.2,20724
10 02 2020,BATBC,351.6333333,351.6666667,343.1666667,345.3,23570
